Job Title,Company Name,Salary
Internal Auditor,Global Industrial,Full-time
Counter Sales Executive,HR,Monday to Friday +2
Tele sales- Australian sales project,Aus Energies Victoria Pty Ltd,"₹20,000 - ₹25,000 a month"
Customer Sales Representative,Aaji Care Home Health Services,Full-time +1
Pest Control Technician | Partner,NORTHCENTRAL TECHNOLOGY PRIVATE LIMITED,Day shift
Sales Executive (Female),PENKRAFT IDEAS PRIVATE LIMITED,"₹25,000 - ₹35,000 a month"
Sales Executive (Mumbai),SAI BUILDING SYSTEMS,Full-time
Tender Executive,AGG Lifesciences & Safety Solutions LLP,Overnight shift
HTML Coder,Shri Vile Parle Kelavani Mandal,Laptop
Export Sales Executive,Lok Chemicals Private Limited,Part-time
Social Media Content Creator and Digital Marketing,Fibre Bond Industries,Monday to Friday +2
Front Office Executive (Receptionist),New Horizons Child Development Centre,Call employer
Campus incharge,Orchids The International School,"₹25,000 - ₹35,000 a month"
Accounting Assistant - Remote,TRT Solutions Limited,Temporary +1
"Content Writer (2+ yrs exp, Mumbai | 22k to 34k p.m)",Novus Digital,Day shift +1
"Inside Sales Representative in Dwarka, Delhi (Min 1+ Yrs Exp)",Nazaqat,"₹20,000 - ₹35,000 a month"
Student Engagement Associate,Drishti IAS,Full-time +1
Global Finance Associate - Travel & Expense,Boston Consulting Group,Day shift +1
Department of Defence: Defence Program Officer,Australian Government,Call employer
Customer Service Representative| Excellent English must (Location: Gurgaon),Concentrix,"₹20,000 - ₹25,000 a month"
Hair Transplant Sales Executive,Panacea Global Hair & Skin Services - Hair...,Full-time
Sales Executive,kaushal jewellers,Day shift
Back Office Coordinator/ Office Assistant,Vardhaman Recruiters,Call employer
Office Coordinator,Disha Publication,"₹20,000 - ₹40,000 a month"
Assistant Managing Editor,Pan Macmillan Publishing India Private Limited,Full-time
Data Entry Operator (DEO),Renoro infracon private limited,Day shift
Office Administrator,WORLD CULTURE FORUM,"₹20,000 - ₹40,000 a month"
Computer Operator cum Office Assistant,NAV NAMAH EXPORTS,Full-time
CA Article Assistant,Bubber Jindal and Co.,Day shift +1
Office Assistant,Grow4sure consulting pvt ltd,Call employer
Keyboard/Guitar Teacher - Bangalore,Flurn Technologies Pvt Ltd,"₹14,433.23 - ₹32,441.53 a month"
SEO Executive,Nanda and Associate Lawyers PC,Full-time
Store Sales Associate,Material Depot,Day shift
Veterinary Officer,MyPetz,Call employer
Inside Sales Executive,Pg Medica Overseas,"₹1,08,000 - ₹3,00,000 a year"
General Physician Night Shift Home Visit,CARE ON CALL,Full-time
Retail Sales Assistant,Kala Kutir by Lemon,Day shift
Fitness Trainer,The movement fitness centre,Call employer
Academic Counsellor,SSYSTEMSQUEST.IN- ECITY,"₹22,000 - ₹30,000 a month"
Pastry Chef de Partie,Sweet Escape Pvt. Ltd. (The Rolling Pinn),Full-time
IT tester,Telstra,Day shift +2
International Voice Process (Only Work from Office),Fidelis Technologies Pvt Ltd,"₹45,000 - ₹90,000 a month"
MNC COMPANY IS HIRING -DAY SHIFT,HGS,Full-time +1
Computer Operater,BigWelt Infotech Pvt Ltd,Monday to Friday +1
Accounts receivable Executive,IBIS,"₹22,000 - ₹34,000 a month"
Delivery Driver Multi Drop,F2R Business Private Limited,Full-time +1
ENDODONTIST MDS ENDODONTICS,GDC,Monday to Friday +1
Content Moderator,Wipro Limited_BPS,"₹9,789.42 - ₹20,000.00 a month"
Interior Designer (Design Partner),HOMEVISTA DECOR AND FURNISHINGS PRIVATE LIMITED,Full-time
Music Teacher & Dance Teacher,International school,Day shift
Pre-Primary Teacher,"Pallavi International School, Keesara",Call employer
English Teacher,International school,Full-time
Primary English Teacher,Delhi School of Excellence Manikonda,"₹56,460 a month"
Talent Acquisition (Non IT),Training Cum Placement.,Full-time
Escalations Representative,Wells Fargo,Full-time
Service Desk Associate,Tech Mahindra,Night shift
Dentist,sdw,"₹30,000 - ₹35,000 a month"
IT Support Technician,QHT CLINIC,Full-time
Administrative Clerk- Facilities,U.S. Embassy & Consulates in India,"₹10,000 - ₹16,000 a month"
"IT Administrator (Hyderabad, IN)",AIMS360,Full-time
UI/UX Designer,Intelligent IT Hub Private Limited,Day shift +1
Company Secretary,Steptrade share services,Call employer
Sales Expert,NSEG Pvt Ltd,"₹30,000 a month"
Pre School - Early Years Educators,Redbricks School,Full-time
"Compliance Officer, GIFT City",ANZ Banking Group,Day shift
Telemarketer,Roger Car Accessories,"Up to ₹25,000 a month"
IELTS Speaking Tutor,D Vivid Consultant,Full-time
Back Office Assistant,Solco Biomedical Pvt. Ltd.,Day shift
Bakery Chef,The Rubiaceae Coffee Brewers,"₹83,000 - ₹1,00,000 a month"
Australian Accounting - Fresher,Orange IQ,Full-time
Walk In Inerviews,WEST-COAST PHARMACEUTICAL WORKS LTD,Day shift
Operations - Officer - Currency Chest - Ahmedabad,HDFC Bank,"₹13,200 - ₹19,000 a month"
Database Administrator,Genique,Full-time +1
SEO Content Writer,Azine Web Technologies Pvt. Ltd.,Day shift
Data Entry Operator/Computer Operator,KONKEM INDUSTRIES PRIVATE LTD,"Up to ₹45,000 a month"
Accounts Staff,Sri Balaji Foam Centre,Full-time +1
HTML programmers,Clasticon Solutions,Day shift
Admin Executive (Front desk job -Female candidates),Aluco Glazing,"Up to ₹25,000 a month"
Quality Assurance Administrator,Wells Fargo,Full-time +1
Office Work,VINAYAGA ENTERPRISES,Day shift
CUSTOMER HANDLING FOR FRESHER,VINAYAGA ENTERPRISES,"₹6,000 - ₹8,000 a month"
Database Administrators,EGB Systems & Solutions,Full-time +1
IT Recruiter,Edify Technologies India Pvt.ltd,Day shift
Database Administrator,SIP Academy India Pvt Ltd,"₹30,000 - ₹40,000 a month"
Female Dermatologist | MD/DDVL/DNB | Full Time | Teynampet,"Hydra Dermatology - Teynampet, Chennai",Full-time +2
Administration Assistant,Southern Standards,Day shift +3
INDIRECT TAX - GST,Larsen & Toubro,"Up to ₹60,000 a month"
Executive Operations,Trans Global Logistics Private Limited,Part-time
Kannada Voice Process,INFOSEARCH BPO SERVICES PVT LTD,Monday to Friday +1
IT Intern,Edlocus,"₹40,000 - ₹60,000 a month"
Freelance Proofreader,eSparkBiz Technologies Pvt. Ltd,Full-time
We need Teachers for DumDum - Kolkata,International STEAM Research,Monday to Friday +2
Computer Assistant,Adwalnut Technologies Pvt Ltd,"₹20,000 - ₹25,000 a month"
Admin Assistant,Medhavi Skills University,Full-time +1
Process Associate - Remote,TrueAlly Services Pvt Ltd,Day shift
"Positions vacant with Group L for IIMC, Kolkata",GroupL Services Private Limited,"₹7,00,000 - ₹15,00,000 a year"
Back Office Assistant,Newzealand Fresh & Naturals India Pvt Ltd,Full-time
Urban Planner,Cyberswift Infotech,Day shift
Assistant Librarian,Amity Education Group | Amity University - Kolkata,"₹1,80,000 - ₹2,40,000 a year"
Adoption Coordinator,Society for Indian Children's Welfare,Full-time
E-Commerce Executive,Placement Leadership Team,Day shift
Virtual Assistant ( Night Shift ),Tier5,Call employer
Expert Sales Executive,Haleon,"₹42,825.62 - ₹50,000.00 a month"
Executive - E-Commerce,Makknowledge India Pvt Ltd,Full-time
Warehouse Supervisor,Chayam Tea,Night shift
Chief Product Officer,Great Ponton Limited,Call employer
Customer Onboarding (Sales) Executive,Refrens Internet Private Limited,"₹8,000 - ₹10,000 a month"
Video Editor(work from Office),G3+ Fashions,Full-time
Social Media Executive (Work from Office only),G3+ Fashions,Day shift +1
Stock Market Trader,Beyond,Call employer
Store System Incharge,Ethos Watches,"₹14,000 - ₹25,000 a month"
TGT Gujarati (Part-time),"G.D.Goenka International School,Surat",Full-time
Back Office Executive,AIRR XMEDIA LIMITED,Day shift
fresher job dimploma/iti/be/bcom,technocare medisystems,"₹22,500 - ₹36,000 a month"
Hiring Teachers,Fountainhead School,Full-time
Executive Assistant to CEO,H&M,Morning shift
Customer Service Executive,BrandIkonic,Call employer
Equipment/Assembly Process Technician - New College Graduate,Micron,"₹20,000 - ₹30,000 a month"
Chief Administrative Officer - Educational,Red & White Group of Institute,Full-time
Walk-in Interview - Field Collection Executive,Navi Technologies,Day shift
Image Processing Executive,TVH Parts,Call employer
drone integrator,ENHANSAFE INDIA PVT LTD,Full-time +1
Badging Officer,Pinkerton,"₹23,000 - ₹33,000 a month"
International Voice Process,Wipro Limited_BPS,Full-time
Process Associate,Wipro Limited_BPS,Rotational shift
Receptionist - Female,Physio Focus,Permanent
Female Medical Assistant (B.Sc. Nursing),Health Within Reach Foundation,Day shift
AutoCAD Draughtsman,SUJAY FIRE LLP,"₹12,000.00 - ₹30,771.90 a month"
Electrician,PODAR INTERNATIONAL SCHOOL,Full-time
Back Office Executive,Exceptionaire Technologies PVT LTD.,Day shift
Officer - Chat Operations,Citi,Permanent
Back Office Assistant,IOConnect Software Solutions Pvt Ltd,"₹25,000 - ₹35,000 a month"
Back Office Executive,Thinkitive Technologies Private Limited,Full-time
Territory Sales Executive - Hyderabad,Haleon,Morning shift
CA Dropout (Work from Home),Alphalogic Techsys Limited,Call employer
Personal Assistant,Detoxen Enviro Solutions Pvt Ltd,"₹30,000 - ₹60,000 a month"
Voice Process (Night Shift_ Freshers can also apply),Intellectapp Studioz,Full-time
Urgent Hiring For International Bpo,Silver Staar Recruiters,Day shift
Blinkit,Star Hire Services,Call employer
E-Commerce Executive,Chokhi Dhani Group,"₹1,00,000 - ₹2,00,000 a year"
Customer Support Representative,Ambitious Global services,Full-time +2
Content Writer,K4 Media & Technologies,Night shift +3
MIS Executive,Vaibhav Global,Aadhar card
Back Office Executive,VCosmos,PAN card
Computer Operator cum Office Assistant,Khaitan Logistics Pvt Ltd,Part-time
Driver Welfare Officer for Kukas,Khaitan Logistics Pvt Ltd,Day shift +1
Machine Learning Trainer,Upflairs Private Limited,Full-time +1
Warehouse Supervisor,DISCOUNT MASTER,Morning shift
Territory Sales Executive - Nagpur,Haleon,"₹14,000 - ₹20,000 a month"
FRONT OFFICE EXECUTIVE - FEMALE,CAMBRIDGE COURT GROUP,Full-time +1
